epoch,train_loss,train_acc,test_loss,test_acc
1,1.4309718832015992,0.65965,0.9775353074073792,0.6392405063291139
2,1.245540591239929,0.7699,1.008075201511383,0.6582278481012658
3,1.1826210977554321,0.8083,0.981830096244812,0.6518987341772152
4,1.134260177230835,0.831,0.8607191562652587,0.7468354430379747
5,1.101841146850586,0.84865,0.9433435797691345,0.7151898734177216
6,1.0677635306358337,0.8668,0.8497144103050231,0.7215189873417721
7,1.0410960805892944,0.8809,0.8431857109069825,0.7468354430379747
8,1.01798809633255,0.8906,0.8038711428642273,0.7974683544303798
9,1.0055609053611756,0.9004,0.817582082748413,0.7721518987341772
10,0.9916822462081909,0.9084,0.7780030012130738,0.7848101265822784
11,1.0639876920700073,0.86355,0.8383300423622131,0.7531645569620253
12,1.0572974279403686,0.8652,0.7324386954307556,0.7911392405063291
13,1.0356743587493897,0.87465,0.8446370482444763,0.740506329113924
14,1.0279267597198487,0.8783,0.8986483573913574,0.7151898734177216
15,1.01173234500885,0.8864,0.8257120370864868,0.7531645569620253
16,0.9925278483390808,0.89435,0.9456064820289611,0.6962025316455697
17,0.9799200598716736,0.8976,0.825881838798523,0.8037974683544303
18,0.9591361281394959,0.9073,0.7489693284034729,0.759493670886076
19,0.9466336835861207,0.91315,0.7481290340423584,0.7974683544303798
20,0.9328772501945496,0.9185,0.7707732319831848,0.7658227848101266
21,0.9144791114807129,0.926,0.7123806953430176,0.8291139240506329
22,0.9053083832740784,0.9316,0.8022045493125916,0.7658227848101266
23,0.891429428768158,0.9367,0.738846755027771,0.7721518987341772
24,0.8799689696311951,0.94215,0.7286746501922607,0.7974683544303798
25,0.8686593328475952,0.948,0.7172444581985473,0.8227848101265823
26,0.8673560689926147,0.9478,0.7231114983558655,0.8227848101265823
27,0.8538754991531372,0.9544,0.6758428931236267,0.8354430379746836
28,0.8507760118484498,0.95635,0.7209595680236817,0.8037974683544303
29,0.8458976022720337,0.9585,0.7348394513130188,0.7974683544303798
30,0.8447538899421692,0.9598,0.7285581469535828,0.8037974683544303
31,0.9164529416084289,0.91835,0.8630065441131591,0.7658227848101266
32,0.9266737975120545,0.91045,0.9412765741348267,0.689873417721519
33,0.9161474656105042,0.9149,0.9373621702194214,0.7278481012658228
34,0.9136776728630066,0.91535,0.8686815142631531,0.7468354430379747
35,0.9020798392295838,0.91875,0.7375864148139953,0.8164556962025317
36,0.9004942155838013,0.91875,0.7976717233657837,0.7784810126582279
37,0.8902065793037415,0.9185,0.7119875073432922,0.8227848101265823
