epoch,train_loss,train_acc,test_loss,test_acc
1,3.2892961795806883,0.72305,0.9865848898887635,0.6708860759493671
2,3.0766226726531984,0.81705,1.0786800980567932,0.6265822784810127
3,2.9766548694610595,0.84735,0.9211984157562256,0.7088607594936709
4,2.889245195770264,0.8764,0.798776388168335,0.7784810126582279
5,2.8225795894622805,0.89295,0.8951803803443908,0.740506329113924
6,2.766388564300537,0.9109,0.9112746477127075,0.7341772151898734
7,2.7232202430725096,0.92345,0.8023553013801574,0.7784810126582279
8,2.682934120941162,0.93955,0.8114546418190003,0.7784810126582279
9,2.6615011901855468,0.9471,0.7608822584152222,0.8227848101265823
10,2.648011618423462,0.95285,0.7860990524291992,0.7974683544303798
11,2.722497798156738,0.9015,0.8209306597709656,0.759493670886076
12,2.6821771450042724,0.9061,0.712757670879364,0.7911392405063291
13,2.632176670074463,0.90915,0.8035015821456909,0.7658227848101266
14,2.5867409038543703,0.916,0.795197582244873,0.7911392405063291
15,2.538427702331543,0.9234,0.802023458480835,0.810126582278481
16,2.4960161491394044,0.92865,0.9303995490074157,0.7088607594936709
17,2.4536641757965088,0.9325,0.7599330306053161,0.8037974683544303
18,2.4110909999847414,0.94025,0.8328075408935547,0.7784810126582279
19,2.374271110534668,0.945,0.8320343613624572,0.7848101265822784
