epoch,train_loss,train_acc,test_loss,test_acc
1,3.408323287963867,0.44122383252818037,1.2001760601997375,0.4620253164556962
2,3.283069908618927,0.49597423510466987,1.1755043745040894,0.4873417721518987
3,3.1528493642807005,0.6328502415458938,0.9929813027381897,0.6392405063291139
4,3.0457157492637634,0.6698872785829307,0.9940084218978882,0.6012658227848101
5,2.961795175075531,0.7181964573268921,0.9399342060089111,0.6392405063291139
6,2.883803200721741,0.7471819645732689,0.9030267238616944,0.6835443037974683
7,2.810918378829956,0.822866344605475,0.8863866209983826,0.7025316455696202
8,2.7453540444374083,0.8615136876006442,0.8443758964538575,0.7278481012658228
9,2.7222093105316163,0.8776167471819646,0.8381369471549988,0.7341772151898734
10,2.7039275646209715,0.8888888888888888,0.8584787487983704,0.7025316455696202
11,2.8120835065841674,0.8293075684380032,0.974772822856903,0.620253164556962
12,2.7691019654273985,0.8341384863123994,0.8952675938606263,0.7025316455696202
13,2.708625316619873,0.8695652173913043,0.9352780222892761,0.7215189873417721
14,2.7246286273002625,0.855072463768116,0.9192310631275177,0.7025316455696202
15,2.6968342423439027,0.8631239935587761,0.8011171340942382,0.7658227848101266
16,2.641587030887604,0.9098228663446055,0.8697397232055664,0.740506329113924
17,2.641686940193176,0.9017713365539453,0.870198392868042,0.7341772151898734
18,2.5930440425872803,0.9210950080515298,0.8583438158035278,0.7278481012658228
19,2.591971230506897,0.92914653784219,0.8002072930335998,0.759493670886076
20,2.55791574716568,0.9484702093397746,0.9118606209754944,0.7151898734177216
21,2.529163146018982,0.9565217391304348,0.9242192506790161,0.7341772151898734
22,2.5501871585845945,0.9468599033816425,0.9837756991386414,0.6962025316455697
23,2.4977553129196166,0.9726247987117552,0.9098379850387573,0.7468354430379747
24,2.5099894762039185,0.9629629629629629,0.9381402134895325,0.7025316455696202
25,2.4951838731765745,0.9758454106280193,0.8896702408790589,0.7278481012658228
